,antecedents,consequents,confidence
0,"frozenset({'Touring-1000 Blue, 50', 'Touring-3000 Blue, 54', 'Touring-1000 Blue, 46'})","frozenset({'Touring-1000 Blue, 60'})",0.9010989010989011
1,"frozenset({'Touring-1000 Blue, 50', 'Touring-1000 Blue, 46', 'Touring-1000 Yellow, 50'})","frozenset({'Touring-2000 Blue, 60'})",0.9310344827586207
2,"frozenset({'Touring-1000 Blue, 50', 'Touring-1000 Blue, 46', 'Touring-1000 Yellow, 60'})","frozenset({'Touring-2000 Blue, 60'})",0.903225806451613
3,"frozenset({'Touring-1000 Blue, 50', 'Touring-1000 Blue, 46', 'Touring-2000 Blue, 54'})","frozenset({'Touring-2000 Blue, 60'})",0.922222222222222
4,"frozenset({'Touring-1000 Blue, 50', 'Touring-3000 Blue, 54', 'Touring-1000 Blue, 46'})","frozenset({'Touring-2000 Blue, 60'})",0.9010989010989011
5,"frozenset({'Touring-1000 Blue, 50', 'Touring-3000 Yellow, 44', 'Touring-1000 Blue, 46'})","frozenset({'Touring-2000 Blue, 60'})",0.913978494623656
6,"frozenset({'Touring-1000 Blue, 50', 'Touring-3000 Yellow, 62', 'Touring-1000 Blue, 46'})","frozenset({'Touring-2000 Blue, 60'})",0.9072164948453607
7,"frozenset({'Touring-1000 Yellow, 50', 'Touring-3000 Blue, 54', 'Touring-1000 Blue, 46'})","frozenset({'Touring-1000 Blue, 60'})",0.9021739130434782
8,"frozenset({'Touring-1000 Yellow, 50', 'Touring-1000 Blue, 46', 'Touring-2000 Blue, 54'})","frozenset({'Touring-2000 Blue, 60'})",0.9010989010989011
9,"frozenset({'Touring-1000 Yellow, 50', 'Touring-3000 Yellow, 62', 'Touring-1000 Blue, 46'})","frozenset({'Touring-2000 Blue, 60'})",0.903225806451613
10,"frozenset({'Touring-1000 Blue, 50', 'Touring-3000 Yellow, 44', 'Touring-1000 Yellow, 60'})","frozenset({'Touring-1000 Yellow, 46'})",0.9052631578947368
